table_name,column_name,data_type,is_nullable
Bill,BID,text,NO
Bill,TimeStamp,timestamp without time zone,YES
Bill,RecBy,text,YES
Bill,DelDate,text,YES
Bill,CID,text,YES
Bill,Seller,text,YES
Bill,Vat,text,YES
Bill,SID,text,YES
Bill,BillDate,text,YES
Buy,TimeStamp,timestamp without time zone,YES
Buy,RecBy,character varying,YES
Buy,DelDate,date,YES
Buy,BID,character varying,NO
Buy,BIDType,character varying,YES
Buy,Event,character varying,YES
Buy,Staff,character varying,YES
Buy,OrderDueDate,date,YES
Buy,PID,character varying,YES
Buy,PIDSub,character varying,YES
Buy,ShopID,character varying,YES
Buy,Detail,text,YES
Buy,ShopUrl,text,YES
Buy,Qty,integer,YES
Buy,Currency,character varying,YES
Buy,Rate,numeric,YES
Buy,ShopPrice,numeric,YES
Buy,ShopShip,numeric,YES
Buy,ShopSumPriceTH,numeric,YES
Buy,ShopPayDate,date,YES
Buy,ShopPaySlip,text,YES
Buy,ShopPayBy,character varying,YES
Buy,ShopPaySlip_2,text,YES
Buy,ShopLabel,character varying,YES
Buy,ShopShiptoYDCNDate,date,YES
Buy,YDLabel,character varying,YES
Buy,YDShipPrice,numeric,YES
Buy,YDShipto168Date,date,YES
Buy,ReimburseDate,date,YES
Buy,ReimburseSlip,text,YES
Buy,InvoiceSlip,text,YES
Buy,RecieptSlip,text,YES
Buy,RecordBy,character varying,YES
Buy,จำนวน,integer,YES
Buy,วันที่เช็คสินค้า,date,YES
Buy,สินค้าอยู่ที่,character varying,YES
Buy,เลขที่สินค้า,character varying,YES
Buy,เลขพัสดุจีน,character varying,YES
Buy,เลขที่ใบส่งของ YD,character varying,YES
CShip,CShipID,uuid,NO
CShip,TimeStamp,timestamp without time zone,YES
CShip,RecBy,text,YES
CShip,DelDate,text,YES
CShip,CID,text,YES
CShip,ShipName,text,YES
CShip,ShipTel,text,YES
CShip,ShipAddress,text,YES
CShip,ShipMap,text,YES
CTax,CTaxID,uuid,NO
CTax,TimeStamp,timestamp without time zone,YES
CTax,RecBy,text,YES
CTax,DelDate,text,YES
CTax,CID,text,YES
CTax,TaxName,text,YES
CTax,TaxNumber,text,YES
CTax,TaxTel,text,YES
CTax,TaxAddress,text,YES
CTax,TaxShip,text,YES
CheckStock,TimeStamp,timestamp without time zone,YES
CheckStock,CheckName,character varying,YES
CheckStock,SN,character varying,YES
CheckStock,LastCheck,date,YES
CheckStock,ShipID,character varying,YES
CheckStock,PicLabel1,text,YES
CheckStock,PicLabel2,text,YES
CheckStock,Pic1,text,YES
CheckStock,Pic2,text,YES
Commission,TimeStamp,timestamp without time zone,YES
Commission,Start Date,date,YES
Commission,End Date,date,YES
Commission,Staff,character varying,YES
Commission,รวมยอดขาย,numeric,YES
Commission,รวมยอดขายที่ชำระครบ,numeric,YES
